filename,population_size,elite_size,mutatants_size,crossover_probability,restart_generations,restart_strategy,seed,objective_value,time_elapsed,stop_time,best_value
training/01-myciel3.txt,150,0.25,0.10,0.80,100,1,4,3097,0.056103,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,2,0,3097,0.05615,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,2,1,3097,0.056061,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,2,2,3097,0.056136,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,2,3,3097,0.05606,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,50,2,4,3097,0.056118,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,100,2,0,3097,0.056156,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,100,2,1,3097,0.056145,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,100,2,2,3097,0.056051,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,100,2,3,3097,0.05614,0.056,3097
training/01-myciel3.txt,150,0.25,0.10,0.80,100,2,4,3097,0.056067,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,50,1,0,3097,0.056499,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,50,1,1,3097,0.056014,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,50,1,2,3097,0.056063,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,50,1,3,3097,0.05603,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,50,1,4,3097,0.056171,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,100,1,0,3097,0.056095,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,100,1,1,3097,0.056141,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,100,1,2,3097,0.056013,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,100,1,3,3097,0.056111,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,100,1,4,3097,0.056025,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,50,2,0,3097,0.05602,0.056,3097
training/01-myciel3.txt,150,0.25,0.20,0.70,50,2,1,3097,0.056097,0.056,3097
