filename,population_size,elite_size,mutatants_size,crossover_probability,restart_generations,restart_strategy,seed,objective_value,time_elapsed,stop_time
experiment/37-latin_square_10.txt,100,0.2,0.10,0.70,50,1,8,58738,1231.52,1228.73
experiment/37-latin_square_10.txt,100,0.2,0.10,0.70,50,1,9,59196,1232.53,1228.73
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,0,59090,1409.51,1407.8
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,1,59130,1410.87,1407.8
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,2,59022,1409.69,1407.8
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,3,59314,1410.93,1407.8
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,4,58588,1412.44,1407.8
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,5,59295,1411.13,1407.8
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,6,59170,1407.88,1407.8
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,7,59092,1413.85,1407.8
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,8,59410,1409.42,1407.8
experiment/38-DSJC1000.5.txt,100,0.2,0.10,0.70,50,1,9,59390,1411.3,1407.8
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,0,53028,1383.84,1383.37
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,1,52924,1394.08,1383.37
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,2,52781,1383.51,1383.37
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,3,52808,1397.02,1383.37
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,4,53057,1387.52,1383.37
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,5,52815,1387.36,1383.37
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,6,52761,1385.24,1383.37
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,7,52896,1386.04,1383.37
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,8,52818,1387.76,1383.37
experiment/39-flat1000_50_0.txt,100,0.2,0.10,0.70,50,1,9,52901,1388.4,1383.37
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,0,52455,1362.05,1359.19
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,1,52504,1361.35,1359.19
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,2,52242,1365.35,1359.19
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,3,52646,1359.31,1359.19
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,4,52394,1366.27,1359.19
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,5,52761,1360.88,1359.19
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,6,52640,1361.91,1359.19
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,7,52249,1363.86,1359.19
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,8,52422,1360.03,1359.19
experiment/40-flat1000_60_0.txt,100,0.2,0.10,0.70,50,1,9,52420,1364.52,1359.19
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,0,76535,242.458,241.837
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,1,75675,242.94,241.837
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,2,75582,241.928,241.837
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,3,75881,242.822,241.837
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,4,75947,242.885,241.837
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,5,75192,242.091,241.837
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,6,75152,242.206,241.837
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,7,78193,242.784,241.837
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,8,77218,242.227,241.837
experiment/41-DSJC500.9.txt,100,0.2,0.10,0.70,50,1,9,75599,242.057,241.837
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,0,51829,1384.9,1381.53
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,1,51898,1385.94,1381.53
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,2,51468,1387.51,1381.53
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,3,51827,1382.08,1381.53
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,4,51703,1382.45,1381.53
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,5,51752,1385.09,1381.53
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,6,51794,1387.6,1381.53
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,7,51744,1382.88,1381.53
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,8,51796,1382.5,1381.53
experiment/42-flat1000_76_0.txt,100,0.2,0.10,0.70,50,1,9,51716,1382.02,1381.53
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,0,2212,109.368,109.134
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,1,2212,109.175,109.134
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,2,2212,109.42,109.134
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,3,2212,109.162,109.134
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,4,2212,109.376,109.134
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,5,2212,109.142,109.134
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,6,2213,109.415,109.134
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,7,2212,109.245,109.134
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,8,2214,109.353,109.134
experiment/43-5-FullIns_4.txt,100,0.2,0.10,0.70,50,1,9,2212,109.276,109.134
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,0,3982,100.178,99.909
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,1,3982,100.105,99.909
experiment/44-ash608GPIA.txt,100,0.2,0.10,0.70,50,1,2,3961,99.953,99.909
